IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP16;IC_GROUP0;IC_GROUP1;IC_GROUP2
1;Хмельницкий;550205;Y;;;;;text;;;text;;;Центральная Украина;49.4167;27.0000;Хмельницкая область;;;
2;Каменец-Подольский;550206;Y;;;;;text;;;text;;;Центральная Украина;48.6833;26.5833;Хмельницкая область;;;
3;Нетишин;550207;Y;;;;;text;;;text;;;Центральная Украина;50.3467;26.6336;Хмельницкая область;;;
4;Славута;550208;Y;;;;;text;;;text;;;Центральная Украина;50.3000;26.8667;Хмельницкая область;;;
5;Староконстантинов;550209;Y;;;;;text;;;text;;;Центральная Украина;49.7556;27.2208;Хмельницкая область;;;
6;Шепетовка;550210;Y;;;;;text;;;text;;;Центральная Украина;50.1820;27.0669;Хмельницкая область;;;
7;Волочиск;550211;Y;;;;;text;;;text;;;Центральная Украина;49.5290;26.2084;Хмельницкая область;;;
9;Деражня;550212;Y;;;;;text;;;text;;;Центральная Украина;49.2667;27.4333;Хмельницкая область;;;
10;Дунаевцы;550213;Y;;;;;text;;;text;;;Центральная Украина;48.8909;26.8496;Хмельницкая область;;;
11;Изяслав;550214;Y;;;;;text;;;text;;;Центральная Украина;50.1187;26.8387;Хмельницкая область;;;
12;Красилов;550215;Y;;;;;text;;;text;;;Центральная Украина;49.6519;26.9706;Хмельницкая область;;;
13;Полонное;550216;Y;;;;;text;;;text;;;Центральная Украина;50.1167;27.5167;Хмельницкая область;;;
23;Летичев;550217;Y;;;;;text;;;text;;;Центральная Украина;49.3833;27.6167;Хмельницкая область;;;
29;Теофиполь;550218;Y;;;;;text;;;text;;;Центральная Украина;49.8419;26.4119;Хмельницкая область;;;
32;Житомир;550219;Y;;;;;text;;;text;;;Центральная Украина;50.2500;28.6667;Житомирская область;;;
33;Бердичев;550220;Y;;;;;text;;;text;;;Центральная Украина;49.9079;28.5879;Житомирская область;;;
34;Коростень;550221;Y;;;;;text;;;text;;;Центральная Украина;50.9618;28.6355;Житомирская область;;;
35;Новоград-Волынский;550222;Y;;;;;text;;;text;;;Центральная Украина;50.5833;27.6333;Житомирская область;;;
36;Малин;550223;Y;;;;;text;;;text;;;Центральная Украина;50.7705;29.2581;Житомирская область;;;
38;Овруч;550224;Y;;;;;text;;;text;;;Центральная Украина;51.3278;28.8133;Житомирская область;;;
48;Попельня;550225;Y;;;;;text;;;text;;;Центральная Украина;49.9664;29.4433;Житомирская область;;;
49;Винница;550226;Y;;;;;text;;;text;;;Центральная Украина;49.2333;28.4833;Винницкая область;;;
51;Могилёв-Подольский;550227;Y;;;;;text;;;text;;;Центральная Украина;48.4500;27.8000;Винницкая область;;;
52;Хмельник;550228;Y;;;;;text;;;text;;;Центральная Украина;49.5596;27.9575;Винницкая область;;;
54;Казатин;550229;Y;;;;;text;;;text;;;Центральная Украина;49.7206;28.8491;Винницкая область;;;
56;Калиновка;550230;Y;;;;;text;;;text;;;Центральная Украина;49.4517;28.5249;Винницкая область;;;
67;Белая Церковь;550231;Y;;;;;text;;;text;;;Центральная Украина;49.8019;30.1152;Киевская область;;;
68;Бровары;550232;Y;;;;;text;;;text;;;Центральная Украина;50.5167;30.8167;Киевская область;;;
69;Борисполь;550233;Y;;;;;text;;;text;;;Центральная Украина;50.3595;30.9742;Киевская область;;;
70;Вишнёвое;550234;Y;;;;;text;;;text;;;Центральная Украина;50.3869;30.3581;Киевская область;;;
71;Фастов;550235;Y;;;;;text;;;text;;;Центральная Украина;50.0803;29.9153;Киевская область;;;
72;Буча;550236;Y;;;;;text;;;text;;;Центральная Украина;50.5574;30.2266;Киевская область;;;
73;Васильков;550237;Y;;;;;text;;;text;;;Центральная Украина;50.1783;30.3158;Киевская область;;;
74;Ирпень;550238;Y;;;;;text;;;text;;;Центральная Украина;50.5215;30.2477;Киевская область;;;
75;Боярка;550239;Y;;;;;text;;;text;;;Центральная Украина;50.3292;30.2886;Киевская область;;;
76;Обухов;550240;Y;;;;;text;;;text;;;Центральная Украина;50.1034;30.6363;Киевская область;;;
77;Переяслав-Хмельницкий;550241;Y;;;;;text;;;text;;;Центральная Украина;50.0661;31.4422;Киевская область;;;
78;Славутич;550242;Y;;;;;text;;;text;;;Центральная Украина;51.5217;30.7670;Киевская область;;;
79;Яготин;550243;Y;;;;;text;;;text;;;Центральная Украина;50.2764;31.7614;Киевская область;;;
