IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP7;IP_PROP1;IP_PROP2;IP_PROP3;IP_PROP13;IP_PROP4;IP_PROP5;IP_PROP6;IP_PROP9;IP_PROP10;IP_PROP11;IP_PROP27;IP_PROP28;IC_GROUP0;IC_GROUP1;IC_GROUP2
5744;top_description;5744;N;;;/upload/iblock/753/7539471cf84ddb33b3434ebca15a45ed.jpg;;html;/upload/iblock/dfe/dfee8cd45c785479d090fcb6533ca060.jpg;;html;;;;;43;0.0000;;;;;;top_description, A.Fabretti;;;;Осень - Зима `12-`13;Женская коллекция;Шубы и меха
5745;top_description;5745;N;;;/upload/iblock/c91/c91dfdd6f201e9324c6e7bb493e4d33d.jpg;;html;/upload/iblock/115/115a29d8c7e8cf3251c22356606ba346.jpg;;html;;;;;43;0.0000;;;;;;top_description, A.Fabretti;;;;Осень - Зима `12-`13;Женская коллекция;Шубы и меха
5746;top_description;5746;N;;;/upload/iblock/076/0768148c0a327ae3b97278b08055443a.jpg;;html;/upload/iblock/851/851a8f18bfc040ee6970d7fa67da5e2a.jpg;;html;;;;;43;0.0000;;;;;;top_description, A.Fabretti;;;;Осень - Зима `12-`13;Женская коллекция;Шубы и меха
5747;top_description;5747;N;;;/upload/iblock/8fd/8fda4a4ff552f096cdf1cf6f62e9162d.jpg;;html;/upload/iblock/bca/bca3585dbbf9bc434c05805126b485ab.jpg;;html;;;;;43;0.0000;;;;;;top_description, A.Fabretti;;;;Осень - Зима `12-`13;Женская коллекция;Шубы и меха
5748;top_description;5748;N;;;/upload/iblock/c7e/c7e2a6135cdc7ba94ab6b1c008744051.jpg;"

";html;/upload/iblock/2c6/2c6eb9126c01f52854181c56a0eb3a73.jpg;;html;;;;;43;0.0000;;;;;;top_description, A.Fabretti;;;;Осень - Зима `12-`13;Женская коллекция;Дубленки
5749;top_description;5749;N;;;/upload/iblock/8dc/8dc4d7af9d5f9e410cc3a3dfde5d5a33.jpg;;html;/upload/iblock/faf/faf8f708e85a8b34843236a88c4863d3.jpg;;html;;;;;43;0.0000;;;;;;top_description, A.Fabretti;;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
5753;top_description;5753;N;;;/upload/iblock/4fb/4fbd7c8ac87a7aa641d62d155da62503.jpg;"<p>
Шубы из натурального меха, придают любой женщине царственный вид и изящность. Поэтому компания «Снежная Королева» отбирает самые модные и качественные изделия для своих покупательниц. Хотите <strong>купить шубу</strong>, тогда приходите в наши магазины, где вас ждет богатый выбор и превосходный сервис, шубы цены которые вас приятно удивят. У нас так же проводиться периодическая <strong>распродажа шуб</strong> из норки, меховые жилетов, полушубков, дорогие мехов а так же демократичных вариантов из кролика и козлика.
</p><p>
Отправляясь за шубой, лучше сразу определиться, какой мех Вы собираетесь купить. Купить шубу в Москве – не трудно, а вот выбрать «свою» – намного сложнее. Традиционно роскошно смотрятся шубы из норки, к тому же носятся они очень долго и позволяют чувствовать себя комфортно даже в сильный мороз. Шуба из чернобурки также выглядит довольно эффектно и при этом отлично сохраняет тепло холодными зимами, но нужно помнить, что из-за того, что лисий мех очень пушистый – он может добавлять ненужный объём, поэтому девушкам низкого роста или пышных форм лучше избегать изделий полностью выполненных их этого меха, а остановить свой взгляд на комбинированных моделях, где объёмный мех используется в отделке – например, на воротнике или манжетах. И вот Вы уже обладаете базовыми знаниями как выбрать шубу.
</p><p>
Следующим шагом при выборе шубы является продавец. Натуральный мех не является дешевым удовольствием, поэтому если Вам предлагают шубы цены на которые  подозрительно низки, рекомендуем тщательно изучить продукцию. Распродажа шуб, устраиваемая малоизвестной компанией или сайтом, так же должны Вас насторожить. Поэтому если Вы собираетесь купить шубу, советуем обратиться к хорошо проверенным продавцам и богатой историей, который поможет выбрать шубу и разумно потратить деньги.
</p>";html;/upload/iblock/f23/f23f1e41c92190375eecb45c24034cc4.jpg;;html;;;;;43;0.0000;;;;;;top_description, A.Fabretti;;;;Осень - Зима `12-`13;Женская коллекция;Шубы и меха
10450;Колье;10450;Y;;;/upload/iblock/2a0/2a0da2da47a75808def74798bbf14669.JPG;;text;/upload/iblock/323/32393f69a06a07adc3f09bfb002df7a2.JPG;;text;;;;NKW12E25;13;1390.0000;390.0000;;;;Колье La Reine Blanche (Модель:NKW12E25) ;Колье, La Reine Blanche;Колье La Reine Blanche (Модель:NKW12E25) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
10451;Колье;10451;Y;;;/upload/iblock/6fe/6feba631e68529f5e2fc2e95b2e18c9b.JPG;;text;/upload/iblock/183/183d4d439d1995731e07b05493ebf373.JPG;;text;;;;NKW12E11;13;890.0000;390.0000;;;;Колье La Reine Blanche (Модель:NKW12E11) ;Колье, La Reine Blanche;Колье La Reine Blanche (Модель:NKW12E11) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
10452;Колье;10452;Y;;;/upload/iblock/6fe/6fead19929ea073d06f19e7dc1b930f3.JPG;;text;/upload/iblock/992/992a79ecf7f7374a4e379ab84ba051b7.JPG;;text;;;;NKW12E06;13;1190.0000;390.0000;;;;Колье La Reine Blanche (Модель:NKW12E06) ;Колье, La Reine Blanche;Колье La Reine Blanche (Модель:NKW12E06) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
10453;Колье;10453;Y;;;/upload/iblock/05b/05bd9ec00716577d1dd9eef8b851b306.JPG;;text;/upload/iblock/796/7967868c26d57c7f950f26b266771b6c.JPG;;text;;;;NKW12E38;13;890.0000;390.0000;;;;Колье La Reine Blanche (Модель:NKW12E38) ;Колье, La Reine Blanche;Колье La Reine Blanche (Модель:NKW12E38) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
10454;Браслет;10454;Y;;;/upload/iblock/a73/a73c06ec9cad41327dd580ac56ab3045.JPG;;text;/upload/iblock/58c/58cd63a70a597ad3d24e75a40ac099ff.JPG;;text;;;;BRW12E07;13;790.0000;290.0000;;;;Браслет La Reine Blanche (Модель:BRW12E07) ;Браслет, La Reine Blanche;Браслет La Reine Blanche (Модель:BRW12E07) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
10455;Колье;10455;Y;;;/upload/iblock/bed/bedd6060639337749bc25b2ed4db2b9b.JPG;;text;/upload/iblock/656/6565f42cb6423989474801bda3451204.JPG;;text;;;;NKW12E07;13;1490.0000;390.0000;;;;Колье La Reine Blanche (Модель:NKW12E07) ;Колье, La Reine Blanche;Колье La Reine Blanche (Модель:NKW12E07) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
10456;Колье;10456;Y;;;/upload/iblock/d65/d658987d536367135482da251c17ed62.JPG;;text;/upload/iblock/9fc/9fca406db062002a008c30a151ab5661.JPG;;text;;;;NKW12E33;13;1190.0000;390.0000;;;;Колье La Reine Blanche (Модель:NKW12E33) ;Колье, La Reine Blanche;Колье La Reine Blanche (Модель:NKW12E33) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
10457;Зонт;10457;Y;;;/upload/iblock/767/7678dfdaa169690e04c8cc5f16637cd3.JPG;;text;/upload/iblock/90b/90bf92120ed705060efd8341ae28cc2f.JPG;;text;;;;UA12-4A;2;790.0000;550.0000;;;;Зонт Acasta (Модель:UA12-4A) ;Зонт, Acasta;Зонт Acasta (Модель:UA12-4A) ;;;Осень - Зима `12-`13;Женская коллекция;Аксессуары
